text,date,evento,sentiment,score
"RT It's 2016, and a racist, sexist, climate change denying bigot is leading in the polls. ElectionNight",,,NEG,0.9002
Worth a read whether you do or don't believe in climate change,,,NEU,0.745
RT Mike Pence doesn t believe in global warming or that smoking causes lung cancer.,,,NEG,0.6477
RT no offense but like how do you just not believe in global warming,,,NEG,0.7161
RT she's thinking about how she's going to die because your husband doesn't believe in climate change,,,NEG,0.8725
RT We have a president elect who doesn't believe in climate change. Millions of people are going to have to say Mr. TÃ â Â,,,NEG,0.8839
Calum tweets abt reunitingish w the cast sees replies begging him to come to their countries Calum goes back to rting climate change,,,NEU,0.82
RT Obama raises climate change. You better vote for candidates who believe in science. ObamaUNC,,,POS,0.5953
Denying climate change ignores basic science,,,NEG,0.5951
BGR China practically says Trump lied about climate change,,,NEG,0.5709
RT Trump's climate change denial could cost us 100 trillion,,,NEG,0.8647
"RT Win probability is bullshit man. I saw the NBA Finals and that's when I knew, global warming isn't real",,,NEG,0.8125
"RT World food supplies at risk as climate change threatens international trade, warn experts",,,NEG,0.6103
RT she's thinking about how she's going to die because your husband doesn't believe in climate change,,,NEG,0.8725
Trump doesn't believe in global warming and he's going to be the President of the United States of America.... fuck,,,NEG,0.915
"RT Irony Florida, a state in danger of being washed away due to rising sea levels, just elected a guy who denies climate changeÃ â Â",,,NEG,0.8146
But global warming is a hoax though.,,,NEG,0.5834
"RT China tells Trump that climate change isn't a hoax it invented via Lol, China schooling TÃ â Â",,,NEU,0.635
"RT Irony Florida, a state in danger of being washed away due to rising sea levels, just elected a guy who denies climate changeÃ â Â",,,NEG,0.8146
"If global warming doesn't exist, why is club penguin shutting down?",,,NEG,0.6625
RT We have a president elect who doesnÃ â â t believe in climate change. ThatÃ â â s frightening for this country and the world.,,,NEG,0.8961
RT HRC proposes installing half a billion solar panels by the end of her first term. Trump thinks climate change is a hoaxÃ â Â,,,NEU,0.6152
RT NOAA Report 2016 was 2nd hottest year in history. One more reason to fight climate change deniers in Trump Admin gt,,,NEU,0.5718
conservatives just love denying science huh? from climate change to believing that fertilization of an egg an automatic human life.,,,NEG,0.8351
RT she's thinking about how she's going to die because your husband doesn't believe in climate change,,,NEG,0.8725
So we have a director of EPA who is a climate change denier. No a coal lobbies to as deputy EPA Chief. Environment,,,NEG,0.7627
RT The Chinese just broke massive iceberg in Antarctica as part of their global warming hoax.,,,NEG,0.7558
RT If global warming isn't real why did club penguin shut down,,,NEG,0.7196
RT our president think climate change is a hoax made by the chinese amp our vice president thinks being gay is a curable disease.Ã â Â,,,NEG,0.7968
"RT Are we looking at an America that officially believes climate change is a hoax? Sorry, everybody else.",,,NEG,0.7801
RT Ten of the ugliest animals threatened by climate change,,,NEG,0.8859
RT We have a president elect who doesn't believe in climate change. Millions of people are going to have to say Mr. TÃ â Â,,,NEG,0.8839
RT she's thinking about how she's going to die because your husband doesn't believe in climate change,,,NEG,0.8725
RT HRC proposes installing half a billion solar panels by the end of her first term. Trump thinks climate change is a hoaxÃ â Â,,,NEU,0.6152
RT he is literally a climate change denier....RIP our planet,,,NEG,0.9287
"RT Imagine trying to convince yourself that global warming isn't real and instead a conspiracy. Wake up, before it's tÃ â Â",,,NEG,0.7964
"So he IS saying climate change is a hoax, and every major scientific organization is a in on it?",,,NEG,0.7508
"RT New global warming study is terrible news for alarmists, good news for plants, animals an...",,,NEG,0.6854
"If you don't believe in climate change, then look at the polar bears that are going extinct, because they have no land to live on.",,,NEG,0.8236
We don't have to hear anti vaccers climate change deniers ACA killers out. Stop using your stupidity to try and kil,,,NEG,0.8908
RT she's thinking about how she's going to die because your husband doesn't believe in climate change,,,NEG,0.8725
People who believe in climate change also generally refuse to say that trans isn't real out loud so... You're no better.,,,NEG,0.8392
"You're not going to get away with this, we are going to call you out every single time. All pages are gone inc. fake climate change",,,NEG,0.9143
"RT CNN panelists erupt over climate change CNN Video Time to call out lies of Trump, Koch Brothers, and Heritage.",,,NEU,0.602
"Was already out after climate change denial, but either of the above would do, which is my loss as well",,,NEG,0.8103
global warming is a hoax perpetrated by the chinese.,,,NEG,0.7409
"RT If you donÃ â â t believe man made global warming is a a silly issue, give to the Natural Resources Defense Council",,,NEG,0.5932
Followed closely by climate change deniers and Wall Street executives.,,,NEU,0.6032
"Agreed! Man made climate change is a man made hoax, innit?",,,NEG,0.7393
"RT Me to my 14 yo kid do you believe in climate change? Kid It's a scientific fact, so it doesn't matte",,,NEU,0.8429
RT she's thinking about how she's going to die because your husband doesn't believe in climate change,,,NEG,0.8725
RT Leading global warming deniers just told us what they want trump to do via,,,NEG,0.5558
RT Fed scientist cooked climate change books ahead of Obama presentation NoMoreSCAMS NoMoreDEMOCRATS DrainTheSwamp,,,NEG,0.6786
"RT With a denier in the White House, how do we deal with the global warming catastrophe that threatens 7.5 billion of us withÃ â Â",,,NEG,0.7684
RT The people who predicted parts of Manhattan would be underwater by 2008 due to climate change are concerned about 'fakeÃ â Â,,,NEG,0.6606
RT China tells Trump climate change isn't a hoax it invented,,,NEU,0.6436
RT China to Trump climate change is not a Chinese hoax Ã Å¾Â Ã Â ï,,,NEU,0.6988
RT she's thinking about how she's going to die because your husband doesn't believe in climate change,,,NEG,0.8725
climate change is fakenews,,,NEG,0.6646
RT Good news that is looking to ditch the Paris agreement and bust open the climate change myth maga stepfoÃ â Â,,,NEU,0.5047
RT People still don't believe in global warming what can we do especially with the president pulling out of the P,,,NEG,0.7716
RT AND this motherfucker doesn't believe in climate change i,,,NEG,0.9275
at least Obama isn't a Christian extremist who thinks global warming amp evolution are hoaxes.,,,NEG,0.6341
"RT Well on the plus side, climate change isn't real anymore.",,,NEU,0.477
RT she's thinking about how she's going to die because your husband doesn't believe in climate change,,,NEG,0.8725
"Conversation will go 'morning Arthur, cold out.' 'Yes mal, global warming obviously fake' 'Agreed Arthur, who's thi",,,NEU,0.6736
RT We have a president elect who doesnÃ â â t believe in climate change. ThatÃ â â s frightening for this country and the world.,,,NEG,0.8961
RT Climate change whistleblower alleges NOAA manipulated data to hide global warming 'pause',,,NEG,0.5066
RT I can't believe there are politicians who believe that climate change is fake. And these are the people working for ourÃ â Â,,,NEG,0.895
